num nodes, num edges, hop count, average neighbors,num nodes one neighbor
10, 28, 12.510000, 5.600000, 0, 
11, 28, 21.063636, 5.090909, 1, 
12, 34, 16.241667, 5.666667, 0, 
13, 25, 19.792308, 3.846154, 1, 
14, 40, 15.400000, 5.714286, 0, 
15, 27, 20.440000, 3.600000, 1, 
16, 51, 19.993750, 6.375000, 0, 
17, 37, 20.911765, 4.352941, 1, 
18, 31, 24.583333, 3.444444, 1, 
19, 59, 25.342105, 6.210526, 1, 
20, 36, 39.750000, 3.600000, 0, 
21, 64, 39.580952, 6.095238, 2, 
22, 43, 40.818182, 3.909091, 0, 
23, 51, 46.713043, 4.434783, 0, 
24, 57, 38.195833, 4.750000, 1, 
25, 51, 51.872000, 4.080000, 1, 
26, 48, 67.507692, 3.692308, 1, 
27, 87, 47.618519, 6.444444, 2, 
28, 68, 47.392857, 4.857143, 0, 
29, 120, 53.082759, 8.275862, 1, 
30, 63, 67.973333, 4.200000, 1, 
31, 105, 44.016129, 6.774194, 0, 
32, 77, 67.996875, 4.812500, 3, 
33, 120, 81.506061, 7.272727, 2, 
34, 100, 73.188235, 5.882353, 0, 
35, 119, 64.920000, 6.800000, 1, 
36, 81, 64.791667, 4.500000, 1, 
37, 153, 61.424324, 8.270270, 1, 
38, 111, 90.265789, 5.842105, 1, 
39, 134, 112.900000, 6.871795, 0, 
40, 179, 63.877500, 8.950000, 0, 
41, 182, 54.526829, 8.878049, 0, 
42, 174, 56.290476, 8.285714, 0, 
43, 158, 65.516279, 7.348837, 0, 
44, 137, 91.886364, 6.227273, 0, 
45, 144, 92.620000, 6.400000, 0, 
46, 207, 62.969565, 9.000000, 0, 
47, 154, 102.061702, 6.553191, 1, 
48, 174, 87.347917, 7.250000, 2, 
49, 189, 90.291837, 7.714286, 0, 
50, 159, 141.384000, 6.360000, 1, 
